Number,NumberInFile,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,ImageNumber,Concentration,Channel
1946,13,3987,3841.501,1034.701,2080,11040,1034.97,28.05,1033.178,28.116,253.606,995,0,86,68,86.917,58.405,30.677,0.779,98.489,15316064,3600,2.304,8.541,100,15316064,3,995,48,29.168,67.794,1.488,0.672,0.963,2649,0.003,a
1947,14,3263,5282.27,1154.407,1552,9120,1109.448,29.692,1108.792,29.092,222.936,1076,0,63,71,70.754,58.719,119.571,0.825,82.492,17236048,5232,0.259,-0.197,100,17236048,3,1082,0,120.606,62.453,1.205,0.83,0.963,2649,0.003,a
1948,15,1356,3469.77,801.427,1280,7280,1162.83,12.486,1161.53,12.479,155.037,1135,0,59,31,57.01,30.284,4.19,0.709,59.682,4705008,3264,0.882,1.787,100,4705008,3,1135,9,8.673,31.0,1.882,0.531,0.964,2649,0.003,a
1949,16,1330,4357.402,972.224,2976,7952,1261.926,19.515,1260.671,20.572,142.133,1244,0,35,40,44.465,38.084,94.013,0.827,51.662,5795344,4128,1.091,0.922,100,5795344,3,1244,0,132.647,35.0,1.168,0.857,0.983,2649,0.003,a
1950,17,5430,4014.789,1668.939,1104,11312,879.217,74.939,879.091,72.514,298.728,841,17,82,113,116.164,59.517,118.943,0.765,117.745,21800304,3536,1.384,2.461,100,21800304,3,857,17,110.898,60.599,1.952,0.512,0.96,2649,0.003,a
1951,18,3881,3974.79,987.146,1184,6976,1099.945,78.43,1101.302,79.002,316.488,1048,25,115,98,116.492,42.419,140.721,0.487,123.859,15426160,3776,0.587,0.018,100,15426160,3,1048,57,158.199,52.177,2.746,0.364,0.764,2649,0.003,a
1952,19,3310,2837.076,653.6,1072,5840,1165.275,63.774,1164.577,62.856,242.09,1125,29,80,73,83.28,50.606,32.237,0.71,82.97,9390720,2768,0.835,2.134,100,9390720,3,1125,72,15.376,60.232,1.646,0.608,0.865,2649,0.003,a
1953,20,4750,3406.552,957.536,1088,7760,146.533,76.982,145.735,74.637,313.458,100,30,107,85,90.656,66.712,143.609,0.607,108.931,16181120,3376,0.702,2.064,100,16181120,3,123,35,136.488,79.602,1.359,0.736,0.792,2649,0.003,a
1954,21,7216,5631.018,1428.853,1296,14912,352.683,111.447,354.322,110.929,384.447,304,31,96,144,143.946,63.827,119.447,0.614,151.921,40633424,5440,0.695,1.52,100,40633424,3,331,31,110.821,79.093,2.255,0.443,0.832,2649,0.003,a
1955,22,3107,3245.296,688.557,976,6272,1256.51,77.758,1256.656,75.961,219.472,1224,39,55,75,77.41,51.104,78.591,0.811,81.541,10083136,3152,0.725,2.52,100,10083136,3,1247,114,66.894,55.0,1.515,0.66,0.96,2649,0.003,a
1956,23,3133,3441.787,1010.624,960,9168,790.306,98.391,790.453,99.832,309.126,770,42,48,123,107.191,37.214,88.885,0.412,123.357,10783120,3568,0.044,1.698,100,10783120,3,776,165,78.781,46.371,2.88,0.347,0.774,2649,0.003,a
1957,24,4259,4353.799,1222.698,1312,8880,983.955,91.919,985.117,92.013,254.521,950,48,74,91,92.45,58.656,63.328,0.826,94.112,18542832,4224,0.658,0.458,100,18542832,3,970,139,75.225,59.213,1.576,0.634,0.966,2649,0.003,a
1958,25,3610,3713.879,968.335,1184,8432,1068.546,105.158,1067.303,104.23,269.823,1025,58,82,101,110.379,41.642,123.365,0.623,110.535,13407104,3488,1.046,1.467,100,13407104,3,1034,62,118.652,42.976,2.651,0.377,0.933,2649,0.003,a
1959,26,7604,3529.191,754.198,1120,8512,266.758,111.854,268.774,111.67,393.464,201,65,138,92,122.007,79.354,178.023,0.617,145.152,26835968,3472,0.953,3.521,100,26835968,3,201,112,161.94,90.015,1.538,0.65,0.828,2649,0.003,a
1960,27,2676,3989.596,820.086,2640,8640,1033.317,117.641,1034.573,117.709,243.531,998,72,79,84,74.249,45.888,131.23,0.567,98.793,10676160,3856,1.3,2.702,100,10676160,3,1025,72,121.759,52.697,1.618,0.618,0.935,2649,0.003,a
1961,28,2615,4270.317,1730.183,1472,14112,426.891,107.59,424.66,108.896,194.97,399,73,58,60,59.156,56.284,84.317,0.864,68.6,11166880,3760,1.635,3.339,100,11166880,3,400,132,59.323,57.575,1.051,0.951,0.964,2649,0.003,a
1962,29,3238,3303.501,764.368,1184,5920,496.167,114.8,497.137,114.138,275.885,450,73,87,81,82.328,50.077,45.017,0.535,106.019,10696736,3264,0.081,-0.092,100,10696736,3,450,154,35.789,58.91,1.644,0.608,0.784,2649,0.003,a
1963,30,3331,4269.152,1393.455,1088,11568,649.241,120.828,650.288,120.603,278.409,610,85,85,85,70.951,59.776,177.655,0.54,89.051,14220544,4240,0.738,3.187,100,14220544,3,637,170,55.061,74.666,1.187,0.842,0.759,2649,0.003,a
1964,31,4982,3717.71,871.742,1024,9856,750.25,150.289,750.474,153.927,310.453,718,87,58,125,121.466,52.223,87.0,0.65,126.289,18521632,3680,1.023,7.866,100,18521632,3,741,212,81.806,58.0,2.326,0.43,0.89,2649,0.003,a
1965,32,6998,3309.336,832.607,1168,5536,89.986,155.817,91.008,159.133,365.899,48,94,101,111,118.605,75.124,120.967,0.657,131.795,23158736,3296,0.127,-0.723,100,23158736,3,54,98,131.309,92.193,1.579,0.633,0.875,2649,0.003,a
1966,33,4993,3031.476,524.154,1248,5232,25.432,149.281,24.63,148.669,288.216,0,97,54,106,109.488,58.064,86.214,0.755,112.925,15136160,3008,0.262,-0.123,100,15136160,3,0,203,67.068,54.0,1.886,0.53,0.984,2649,0.003,a
1967,34,3532,3764.009,970.379,992,9168,812.208,152.442,812.057,153.47,255.504,772,108,84,88,96.753,46.48,44.645,0.68,103.812,13294480,3632,1.464,5.678,100,13294480,3,772,196,35.987,48.062,2.082,0.48,0.963,2649,0.003,a
1968,35,6250,3904.745,1128.195,1072,8704,933.312,169.943,933.985,171.982,355.989,877,116,99,109,96.821,82.19,129.722,0.62,122.801,24404656,3936,0.408,1.054,100,24404656,3,909,119,120.324,85.921,1.178,0.849,0.844,2649,0.003,a
1969,36,3458,4616.134,1526.702,1200,11248,1022.469,160.35,1021.733,161.638,278.255,984,125,104,69,82.812,53.167,178.496,0.561,107.201,15962592,4080,0.97,0.67,100,15962592,3,984,134,165.964,64.841,1.558,0.642,0.859,2649,0.003,a
1970,37,2292,4272.754,1001.982,1296,6848,689.162,156.539,687.414,156.582,239.252,638,133,89,50,85.354,34.19,8.776,0.503,89.56,9793152,4400,-0.694,0.725,100,9793152,3,638,172,6.411,44.506,2.496,0.401,0.728,2649,0.003,a
1971,38,4207,4604.25,1147.023,1216,9504,805.991,200.815,809.256,198.053,357.601,742,136,126,112,116.768,45.873,39.003,0.413,142.78,19370080,4480,0.169,0.783,100,19370080,3,742,215,28.899,64.623,2.545,0.393,0.702,2649,0.003,a
1972,39,4713,3561.828,685.016,1152,6016,288.652,170.57,286.479,170.84,274.147,235,141,105,73,93.937,63.881,176.59,0.788,105.385,16786896,3440,0.386,0.419,100,16786896,3,235,152,175.101,71.454,1.47,0.68,0.97,2649,0.003,a
1973,40,5147,3131.185,1018.927,992,10864,489.421,178.497,489.197,180.822,304.119,439,144,102,74,94.965,69.008,13.248,0.699,106.32,16116208,2944,1.017,3.213,100,16116208,3,439,193,16.39,73.237,1.376,0.727,0.88,2649,0.003,a
1974,41,1338,3736.179,855.279,1104,8480,1268.072,181.809,1268.346,180.249,171.285,1250,146,29,74,65.047,26.19,95.386,0.573,74.027,4999008,3728,1.505,7.69,100,4999008,3,1274,146,91.548,29.0,2.484,0.403,0.927,2649,0.003,a
1975,42,3943,3257.552,663.136,1104,6304,174.304,190.032,174.232,190.071,276.403,136,149,79,94,89.695,55.971,62.661,0.649,95.901,12844528,3264,-0.405,1.348,100,12844528,3,160,149,101.427,58.691,1.603,0.624,0.846,2649,0.003,a
1976,43,2625,3644.507,806.529,1344,6976,212.431,200.498,213.115,199.815,243.067,179,151,64,98,106.695,31.325,60.746,0.558,107.187,9566832,3440,0.959,1.231,100,9566832,3,179,244,59.128,31.863,3.406,0.294,0.954,2649,0.003,a
1977,44,2142,4927.081,1471.866,2016,10592,1057.384,188.149,1059.183,186.792,205.857,1010,161,80,48,73.344,37.185,14.079,0.635,84.694,10553808,4624,0.828,0.394,100,10553808,3,1010,194,22.932,42.231,1.972,0.507,0.948,2649,0.003,a
1978,45,4720,3852.224,1121.917,1024,9104,827.391,245.713,828.413,242.958,403.725,777,168,100,152,142.627,42.136,59.399,0.364,159.399,18182496,3696,0.301,1.199,100,18182496,3,806,320,72.474,57.418,3.385,0.295,0.651,2649,0.003,a
1979,46,3423,4378.905,1580.976,1024,14272,1104.322,214.111,1103.273,213.3,241.857,1077,177,62,86,90.832,47.982,63.481,0.735,99.126,14988992,3920,1.183,2.973,100,14988992,3,1080,263,59.036,49.641,1.893,0.528,0.949,2649,0.003,a
1980,47,5421,3422.223,586.687,1280,5600,243.616,232.247,243.651,232.075,306.55,191,180,105,101,107.747,64.06,39.54,0.725,113.741,18551872,3408,-0.112,0.094,100,18551872,3,200,276,32.433,68.134,1.682,0.595,0.914,2649,0.003,a
1981,48,3597,4287.862,1098.942,1168,8848,902.116,237.244,902.85,237.377,278.22,874,191,60,96,92.723,49.393,97.802,0.584,97.99,15423440,4448,-0.669,0.875,100,15423440,3,883,192,114.734,60.0,1.877,0.533,0.833,2649,0.003,a
1982,49,7227,3455.453,645.832,1008,6672,85.268,228.041,86.021,229.436,371.961,14,192,154,72,149.458,61.567,170.321,0.656,158.66,24972560,3408,0.65,3.296,100,24972560,3,15,203,164.65,67.089,2.428,0.412,0.922,2649,0.003,a
1983,50,2369,5506.067,2057.476,1648,14416,1004.226,219.711,1001.316,218.385,186.924,971,193,67,50,63.886,47.214,160.17,0.852,70.235,13043872,5008,1.058,0.948,100,13043872,3,976,206,151.975,48.048,1.353,0.739,0.964,2649,0.003,a
1984,51,2253,3999.595,947.244,1136,7744,1139.598,237.706,1139.44,239.292,281.16,1113,197,62,106,80.476,35.645,86.495,0.358,111.328,9011088,3872,0.343,0.712,100,9011088,3,1138,198,109.411,52.859,2.258,0.443,0.604,2649,0.003,a
1985,52,1813,6162.453,2447.674,3088,15264,1056.538,226.861,1059.456,229.89,181.738,1025,202,55,55,59.326,38.91,140.933,0.69,75.69,11172528,5440,1.538,1.858,100,11172528,3,1025,202,133.394,43.267,1.525,0.656,0.942,2649,0.003,a
1986,53,1972,8983.716,2368.426,4272,16032,941.687,240.355,942.744,240.069,189.241,923,211,50,70,64.919,38.676,66.053,0.692,72.007,17715888,8992,0.164,-0.585,100,17715888,3,925,281,52.334,43.156,1.679,0.596,0.952,2649,0.003,a
1987,54,1630,5248.324,1632.935,1360,9904,682.629,241.591,684.188,242.641,164.51,659,214,46,52,57.681,35.98,124.88,0.757,62.008,8554768,5232,-0.22,-0.146,100,8554768,3,663,214,127.794,40.649,1.603,0.624,0.897,2649,0.003,a
1988,55,988,6904.016,2762.751,1824,14544,1181.914,232.798,1181.263,234.997,121.132,1161,217,44,36,39.725,31.667,178.205,0.846,45.122,6821168,6832,0.296,-0.316,100,6821168,3,1161,224,167.196,34.34,1.254,0.797,0.96,2649,0.003,a
1989,56,3115,4853.63,1410.074,1136,10704,714.616,257.863,714.931,256.686,270.214,675,219,80,83,86.65,45.772,51.655,0.536,87.419,15119056,4672,0.346,1.101,100,15119056,3,678,288,35.69,62.335,1.893,0.528,0.757,2649,0.003,a
1990,57,1809,4465.442,1055.189,2560,9776,1165.184,266.708,1165.49,266.486,191.553,1146,221,39,81,71.965,32.006,108.464,0.62,82.377,8077984,4224,1.166,2.154,100,8077984,3,1161,221,100.491,34.673,2.248,0.445,0.906,2649,0.003,a
1991,58,1837,5082.426,1902.312,2944,13200,963.466,262.37,962.868,260.786,186.183,926,229,63,61,72.391,32.31,47.494,0.666,74.061,9336416,4320,1.84,2.832,100,9336416,3,926,281,34.548,35.355,2.241,0.446,0.901,2649,0.003,a
1992,59,879,7676.432,1855.074,2224,13200,1197.257,255.655,1196.825,255.158,123.816,1179,234,38,47,45.681,24.5,49.034,0.721,51.078,6747584,7808,-0.176,0.696,100,6747584,3,1186,281,66.949,24.914,1.865,0.536,0.948,2649,0.003,a
1993,60,3008,4521.34,1008.305,1744,9264,1037.997,264.979,1039.96,264.655,244.35,988,239,92,64,82.465,46.443,160.591,0.633,96.005,13600192,4432,0.754,0.75,100,13600192,3,988,239,157.977,57.769,1.776,0.563,0.883,2649,0.003,a
1994,61,4901,3779.408,1251.133,1184,7040,32.223,285.522,32.726,285.572,280.062,0,242,77,94,94.081,66.328,56.358,0.785,105.418,18522880,3808,0.124,-1.04,100,18522880,3,0,336,43.078,71.568,1.418,0.705,0.962,2649,0.003,a
1995,62,2324,4462.589,959.347,1520,10784,1010.867,294.335,1010.897,295.426,211.259,987,248,52,82,79.648,37.151,124.828,0.654,90.211,10371056,4368,0.915,2.764,100,10371056,3,990,248,121.399,38.89,2.144,0.466,0.96,2649,0.003,a
1996,63,5960,3959.133,1122.561,1216,9728,179.192,300.427,180.73,304.84,350.813,137,244,87,115,119.888,63.296,112.008,0.609,123.458,23596432,3808,0.984,2.14,100,23596432,3,140,257,125.106,73.635,1.894,0.528,0.83,2649,0.003,a
1997,64,2745,4077.989,1156.075,1552,8448,1111.403,280.78,1111.51,279.013,250.33,1077,246,95,65,68.821,50.784,155.912,0.55,99.368,11194080,3840,0.874,0.584,100,11194080,3,1079,268,159.376,54.701,1.355,0.738,0.785,2649,0.003,a
1998,65,2300,3804.445,1386.707,1632,9872,1215.975,277.771,1215.063,277.173,191.598,1183,247,64,60,73.438,39.876,45.545,0.787,78.237,8750224,3344,1.205,1.269,100,8750224,3,1183,299,35.112,41.447,1.842,0.543,0.949,2649,0.003,a
1999,66,1945,3677.598,744.909,1120,5984,747.096,279.363,745.488,279.267,198.303,705,249,76,51,67.416,36.734,18.18,0.622,80.324,7152928,3776,-1.218,2.345,100,7152928,3,705,300,18.886,44.408,1.835,0.545,0.881,2649,0.003,a
2000,67,2156,4090.33,929.17,1360,7184,1256.638,283.203,1255.5,284.397,190.069,1222,254,57,58,65.649,41.815,58.597,0.75,72.622,8818752,3936,0.264,0.157,100,8818752,3,1222,302,38.29,47.506,1.57,0.637,0.904,2649,0.003,a
2001,68,4352,4200.835,1016.8,1584,8752,105.259,295.939,104.89,296.392,264.302,67,258,73,91,84.885,65.278,75.077,0.783,99.745,18282032,3936,1.339,2.114,100,18282032,3,94,349,64.463,68.532,1.3,0.769,0.924,2649,0.003,a
2002,69,2381,9439.745,2536.292,2480,16784,1068.436,310.597,1070.19,311.408,187.656,1038,278,63,60,59.456,50.988,8.639,0.85,64.537,22476032,9744,0.033,-0.489,100,22476032,3,1038,326,12.529,50.982,1.166,0.858,0.957,2649,0.003,a
2003,70,6355,3909.776,1089.948,1008,7616,974.22,331.866,972.798,331.173,359.17,902,282,125,109,137.137,59.003,140.099,0.619,144.402,24846624,4048,-0.302,-0.209,100,24846624,3,902,288,149.172,66.815,2.324,0.43,0.905,2649,0.003,a
2004,71,7572,3963.97,1132.597,1136,10928,751.857,341.342,753.244,342.594,336.547,704,294,101,105,102.702,93.874,97.449,0.84,111.041,30015184,3904,0.663,1.262,100,30015184,3,704,302,141.582,100.143,1.094,0.914,0.938,2649,0.003,a
2005,72,5210,3281.892,868.8,1040,10416,666.084,332.835,665.0,332.182,296.093,613,295,95,84,88.397,75.043,161.422,0.747,97.862,17098656,3280,2.06,13.87,100,17098656,3,615,312,158.416,82.03,1.178,0.849,0.901,2649,0.003,a
2006,73,3369,4141.573,870.141,2672,7568,1139.927,326.973,1140.674,327.937,224.85,1099,297,75,64,70.322,60.998,2.038,0.837,77.621,13952960,3968,0.888,0.385,100,13952960,3,1099,324,14.931,59.619,1.153,0.867,0.95,2649,0.003,a
2007,74,610,4177.18,810.149,2592,6528,1270.977,318.405,1270.762,319.834,111.139,1257,297,22,46,38.846,19.994,95.902,0.621,46.043,2548080,4336,-0.177,-0.464,100,2548080,3,1277,297,92.49,22.0,1.943,0.515,0.953,2649,0.003,a
2008,75,2527,4966.996,918.449,2272,9216,1190.922,336.325,1190.198,334.537,206.914,1168,300,45,83,75.841,42.424,90.597,0.742,84.528,12551600,4768,1.163,1.771,100,12551600,3,1182,300,100.911,43.139,1.788,0.559,0.95,2649,0.003,a
2009,76,4354,3769.856,880.871,1552,7456,61.857,348.571,62.251,351.216,278.69,14,301,81,98,93.424,59.339,108.962,0.704,98.732,16413952,3488,1.231,1.182,100,16413952,3,55,399,83.019,66.622,1.574,0.635,0.86,2649,0.003,a
2010,77,2465,4857.386,1061.534,3248,9216,1245.832,335.652,1246.672,336.088,211.253,1211,303,68,71,81.251,38.628,132.889,0.694,83.815,11973456,4512,1.361,1.572,100,11973456,3,1211,307,144.224,39.8,2.103,0.475,0.909,2649,0.003,a
2011,78,4218,3878.304,1244.768,1056,10592,836.632,353.523,833.489,354.575,268.303,791,321,92,63,95.267,56.373,171.52,0.736,96.835,16358688,3648,1.194,3.182,100,16358688,3,803,322,144.669,58.548,1.69,0.592,0.904,2649,0.003,a
2012,79,2392,4757.311,1196.207,1856,8944,1223.529,371.237,1223.446,374.083,210.272,1199,322,53,78,66.35,45.902,93.427,0.68,80.994,11379488,4528,0.674,-0.18,100,11379488,3,1213,322,110.225,50.347,1.445,0.692,0.934,2649,0.003,a
2013,80,2066,6769.65,1866.112,1600,13824,1094.832,352.095,1094.756,350.075,174.265,1063,325,62,51,60.345,43.591,151.525,0.855,66.287,13986096,6720,0.207,1.55,100,13986096,3,1063,339,146.07,45.255,1.384,0.722,0.97,2649,0.003,a
2014,81,3633,4394.354,1448.383,1616,11072,22.477,383.418,22.744,385.002,242.253,0,337,54,88,85.59,54.044,98.276,0.778,89.443,15964688,4016,1.593,3.157,100,15964688,3,0,337,100.305,54.0,1.584,0.631,0.999,2649,0.003,a
2015,82,7663,3859.351,922.09,1024,7952,923.135,409.153,922.463,409.792,356.948,878,344,86,128,123.147,79.229,100.461,0.756,134.737,29574208,3872,-0.523,1.846,100,29574208,3,896,344,114.092,85.383,1.554,0.643,0.915,2649,0.003,a
2016,83,4559,4318.203,973.084,1216,8944,1160.811,392.992,1160.331,393.027,255.692,1119,353,83,84,84.449,68.736,128.393,0.876,87.464,19686688,4112,0.686,1.953,100,19686688,3,1127,361,120.964,68.588,1.229,0.814,0.964,2649,0.003,a
2017,84,1619,5378.481,1583.685,2560,11472,1265.447,392.75,1266.557,389.848,176.006,1242,357,37,71,60.572,34.032,88.599,0.657,71.028,8707760,5376,0.413,0.029,100,8707760,3,1277,357,91.614,37.0,1.78,0.562,0.965,2649,0.003,a
2018,85,7622,3919.935,1494.146,1152,16224,692.398,421.952,694.506,424.538,370.612,641,370,103,118,107.131,90.586,74.169,0.697,121.05,29877744,3792,2.504,13.49,100,29877744,3,683,488,77.112,89.691,1.183,0.846,0.891,2649,0.003,a
2019,86,7639,6012.159,2661.445,2512,17440,779.905,429.905,776.846,433.432,352.709,716,373,120,101,113.47,85.716,35.115,0.772,130.231,45926880,5280,1.313,1.582,100,45926880,3,716,470,42.51,94.652,1.324,0.755,0.936,2649,0.003,a
2020,87,2944,4780.897,1915.175,1472,16640,850.439,404.828,848.446,407.669,219.503,811,377,73,59,69.342,54.057,143.698,0.768,87.367,14074960,4176,2.217,6.882,100,14074960,3,811,380,146.674,57.02,1.283,0.78,0.948,2649,0.003,a
2021,88,5187,3634.428,769.3,1440,8368,62.839,433.079,62.678,432.159,317.019,0,395,112,74,104.079,63.455,7.608,0.649,118.271,18851776,3568,1.101,4.403,100,18851776,3,0,449,18.741,70.468,1.64,0.61,0.84,2649,0.003,a
2022,89,3594,4551.239,1308.986,1152,8512,1224.534,426.647,1222.134,424.524,267.256,1170,399,109,53,93.447,48.969,2.723,0.632,109.293,16357152,4800,-0.153,-0.514,100,16357152,3,1170,437,4.198,53.0,1.908,0.524,0.883,2649,0.003,a
2023,90,1771,4478.744,1406.334,1120,9568,1037.639,425.568,1038.969,427.521,169.329,1012,404,61,46,54.577,41.316,170.704,0.776,63.906,7931856,4416,-0.038,0.43,100,7931856,3,1013,407,159.864,43.007,1.321,0.757,0.942,2649,0.003,a
2024,91,4044,4334.77,1393.106,1184,10352,1114.328,445.601,1113.422,446.65,268.124,1078,407,85,85,84.249,61.116,42.472,0.707,98.615,17529808,4320,0.449,0.246,100,17529808,3,1078,487,30.466,65.078,1.379,0.725,0.91,2649,0.003,a
2025,92,6374,4507.1,1467.289,1136,14704,850.583,477.698,847.654,478.449,316.154,806,428,91,100,110.758,73.274,50.9,0.801,126.657,28728256,4208,1.348,4.329,100,28728256,3,806,528,51.411,76.42,1.512,0.662,0.953,2649,0.003,a
2026,93,1722,8946.88,1967.721,2400,14800,1064.843,457.602,1064.227,456.976,162.497,1037,429,46,58,52.528,41.74,101.805,0.82,58.138,15406528,9200,-0.614,1.1,100,15406528,3,1070,487,86.055,45.555,1.258,0.795,0.967,2649,0.003,a
2027,94,3269,3972.699,1125.041,2672,10320,1166.009,498.03,1166.578,494.596,262.003,1132,437,69,93,80.789,51.519,94.393,0.598,98.031,12986752,3552,2.083,5.05,100,12986752,3,1164,437,108.435,63.071,1.568,0.638,0.875,2649,0.003,a
2028,95,3414,4631.705,932.632,1696,8112,1207.929,475.155,1208.246,475.471,255.908,1169,438,80,83,68.798,63.183,149.375,0.655,89.32,15812640,4480,1.011,1.428,100,15812640,3,1169,438,111.682,71.951,1.089,0.918,0.903,2649,0.003,a
2029,96,2288,5101.483,1470.692,2864,10624,1124.066,489.761,1123.87,490.925,222.388,1088,445,72,74,73.749,39.501,44.854,0.581,90.0,11672192,4896,0.865,0.351,100,11672192,3,1106,517,53.13,46.279,1.867,0.536,0.919,2649,0.003,a
2030,97,2849,4337.443,1194.25,1152,9664,1030.23,479.783,1030.527,478.997,211.49,1000,443,70,72,75.056,48.33,127.032,0.8,75.166,12357376,4160,0.079,0.917,100,12357376,3,1007,447,146.944,50.846,1.553,0.644,0.939,2649,0.003,a
2031,98,2444,5104.491,1685.955,1856,11664,1262.647,497.907,1263.887,496.507,216.758,1237,459,42,87,83.423,37.301,100.899,0.654,91.706,12475376,4720,1.22,1.219,100,12475376,3,1250,459,108.435,42.0,2.236,0.447,0.967,2649,0.003,a
2032,99,3626,3848.177,963.914,1088,8000,985.193,511.151,984.204,513.743,248.316,951,466,73,85,78.484,58.825,82.435,0.739,86.313,13953488,3856,0.356,2.258,100,13953488,3,963,551,79.992,68.067,1.334,0.75,0.885,2649,0.003,a
2033,100,3967,3992.752,1130.185,1168,7712,928.846,507.742,927.746,509.626,259.316,886,468,77,73,85.444,59.114,35.968,0.741,90.139,15839248,3904,0.175,0.205,100,15839248,3,891,532,40.05,69.492,1.445,0.692,0.895,2649,0.003,a
2034,101,8068,5313.747,1871.984,1088,15616,761.288,513.261,758.336,511.789,400.96,680,470,130,105,114.639,89.607,135.685,0.631,145.086,42871312,5152,0.966,1.992,100,42871312,3,680,488,145.105,102.314,1.279,0.782,0.855,2649,0.003,a
2035,102,3970,3937.245,1125.95,2096,9536,1075.47,531.413,1075.264,527.845,253.518,1037,488,72,96,85.892,58.85,102.549,0.776,96.69,15630864,3936,1.212,2.371,100,15630864,3,1071,488,100.729,62.437,1.459,0.685,0.946,2649,0.003,a
2036,103,3528,5529.914,2177.27,1168,10192,680.834,516.526,687.389,516.951,355.299,579,489,148,58,108.861,41.264,164.19,0.351,155.926,19509536,5344,0.003,-0.945,100,19509536,3,579,495,160.519,52.112,2.638,0.379,0.704,2649,0.003,a
2037,104,5589,3492.36,1003.549,1168,8480,850.484,553.685,846.867,552.085,295.918,798,514,101,83,99.023,71.863,178.535,0.802,103.446,19518800,3424,1.042,2.913,100,19518800,3,800,571,16.858,78.884,1.378,0.726,0.908,2649,0.003,a
2038,105,2999,5164.356,1400.673,2448,10816,1017.009,562.744,1016.989,564.855,282.709,986,514,53,123,96.602,39.528,86.845,0.472,123.685,15487904,5008,0.68,0.648,100,15487904,3,1015,637,83.967,50.152,2.444,0.409,0.83,2649,0.003,a
2039,106,3411,4290.495,1712.132,1552,10816,1229.46,554.983,1231.613,556.163,240.812,1197,515,81,70,83.015,52.316,143.313,0.739,93.814,14634880,3744,1.377,1.294,100,14634880,3,1201,523,144.107,56.338,1.587,0.63,0.953,2649,0.003,a
2040,107,3439,4717.474,914.816,2976,8752,1120.054,564.397,1120.389,565.144,233.447,1090,518,53,91,90.099,48.598,85.725,0.793,92.396,16223392,4544,0.973,1.052,100,16223392,3,1115,609,80.028,52.388,1.854,0.539,0.969,2649,0.003,a
2041,108,2378,5312.451,1213.065,2928,9744,1046.983,580.486,1046.922,581.353,270.053,1016,527,64,111,75.725,39.984,75.586,0.41,113.565,12633008,5232,0.494,-0.243,100,12633008,3,1016,638,77.8,51.793,1.894,0.528,0.796,2649,0.003,a
2042,109,2836,4334.228,832.455,3040,10736,1168.923,556.252,1170.389,556.362,220.655,1141,530,60,59,62.471,57.802,24.242,0.732,79.981,12291872,4144,2.607,12.233,100,12291872,3,1143,589,47.534,58.19,1.081,0.925,0.937,2649,0.003,a
2043,110,7313,3451.574,937.234,1024,8848,970.553,604.688,971.972,604.632,339.698,912,549,103,112,117.139,79.488,124.499,0.796,125.399,25241360,3216,1.526,4.267,100,25241360,3,917,574,138.556,82.597,1.474,0.679,0.958,2649,0.003,a
2044,111,7697,3123.224,803.147,944,5856,756.383,622.694,756.11,620.903,383.818,707,566,93,136,112.761,86.911,112.696,0.657,138.192,24039456,2992,-0.089,0.318,100,24039456,3,720,578,116.194,92.342,1.297,0.771,0.845,2649,0.003,a
2045,112,5635,3536.872,869.386,1072,8224,921.86,646.002,921.664,645.568,361.706,872,576,91,146,139.859,51.299,111.478,0.541,153.379,19930272,3536,0.302,3.65,100,19930272,3,887,576,107.844,64.496,2.726,0.367,0.833,2649,0.003,a
2046,113,2653,3768.6,664.931,1712,8560,1180.624,598.479,1180.197,598.277,218.218,1137,577,87,50,87.621,38.551,14.261,0.7,87.966,9998096,3616,1.534,4.985,100,9998096,3,1137,601,8.499,41.431,2.273,0.44,0.925,2649,0.003,a
2047,114,2627,4374.176,893.669,1904,9200,1081.931,613.893,1083.247,614.539,219.38,1044,584,70,76,62.242,53.738,162.58,0.686,76.792,11490960,4272,0.854,1.621,100,11490960,3,1083,584,98.236,55.652,1.158,0.863,0.869,2649,0.003,a
2048,115,6333,3475.732,861.593,1008,7264,822.99,662.007,823.459,661.919,351.439,781,594,83,129,137.369,58.699,67.342,0.644,145.262,22011808,3456,-0.215,0.771,100,22011808,3,783,722,59.374,62.398,2.34,0.427,0.895,2649,0.003,a
2049,116,4150,4601.889,1220.947,1328,9280,1133.161,646.586,1134.465,648.687,268.167,1094,601,85,80,75.392,70.086,130.453,0.725,87.727,19097840,4528,0.465,0.543,100,19097840,3,1115,610,136.848,75.212,1.076,0.93,0.913,2649,0.003,a
2050,117,1678,4246.961,1976.371,2448,14992,1192.244,627.663,1196.394,627.429,178.049,1162,603,62,50,74.739,28.586,29.197,0.665,76.217,7126400,3520,2.778,8.493,100,7126400,3,1164,651,38.073,27.95,2.614,0.382,0.952,2649,0.003,a
2051,118,2684,4395.887,899.812,1472,6960,1049.776,645.781,1048.696,644.648,216.905,1012,615,82,51,78.265,43.664,169.669,0.717,83.024,11798560,4240,0.169,0.291,100,11798560,3,1012,652,170.991,51.0,1.792,0.558,0.934,2649,0.003,a
